,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2023-12-31
Tax Effect Of Unusual Items,-64444087159.54613,-70042108195.35255,234108835932.5195,-107603920000.0,64360032946.84814,
Tax Rate For Calcs,0.303445,0.2784,0.179514,0.232,0.271562,
Normalized EBITDA,2022562000000.0,1724409000000.0,2059255000000.0,1913492000000.0,2227046000000.0,
Total Unusual Items,-212375000000.0,-251588000000.0,1304126000000.0,-463810000000.0,236999000000.0,
Total Unusual Items Excluding Goodwill,-212375000000.0,-251588000000.0,1304126000000.0,-463810000000.0,236999000000.0,
Net Income From Continuing Operation Net Minority Interest,841345000000.0,664697000000.0,2193276000000.0,573766000000.0,1333347000000.0,
Reconciled Depreciation,551824000000.0,565484000000.0,557785000000.0,552686000000.0,575278000000.0,
Reconciled Cost Of Revenue,10057513000000.0,10030966000000.0,10012186000000.0,9006080000000.0,9409434000000.0,
EBITDA,1810187000000.0,1472821000000.0,3363381000000.0,1449682000000.0,2464045000000.0,
EBIT,1258363000000.0,907337000000.0,2805596000000.0,896996000000.0,1888767000000.0,
Net Interest Income,147510000000.0,-17915000000.0,46218000000.0,59960000000.0,157291000000.0,
Interest Expense,6211000000.0,-77160000000.0,107572000000.0,37185000000.0,16509000000.0,
Interest Income,153721000000.0,-60107000000.0,153790000000.0,97145000000.0,173800000000.0,
Normalized Income,989275912840.4539,846242891804.6475,1123258835932.5195,929972080000.0,1160708032946.8481,
Net Income From Continuing And Discontinued Operation,841345000000.0,664697000000.0,2193276000000.0,573766000000.0,1333347000000.0,
Total Expenses,11087185000000.0,11247064000000.0,11175821000000.0,10288815000000.0,10529418000000.0,
Total Operating Income As Reported,1166141000000.0,1116095000000.0,1215274000000.0,1155755000000.0,1308462000000.0,
Diluted Average Shares,1303293225.0,,,,1346915920.0,1349447426.0
Basic Average Shares,1303293225.0,,,,1346915920.0,1349447426.0
Diluted EPS,645.6,,,,989.9,1006.2
Basic EPS,645.6,,,,989.9,1006.2
Diluted NI Availto Com Stockholders,841345000000.0,664697000000.0,2193276000000.0,573766000000.0,1333347000000.0,
Net Income Common Stockholders,841345000000.0,664697000000.0,2193276000000.0,573766000000.0,1333347000000.0,
Net Income,841345000000.0,664697000000.0,2193276000000.0,573766000000.0,1333347000000.0,
Minority Interests,-30848000000.0,-45717000000.0,-20415000000.0,71938000000.0,-30476000000.0,
Net Income Including Noncontrolling Interests,872193000000.0,710413000000.0,2213691000000.0,501828000000.0,1363823000000.0,
Net Income Continuous Operations,872193000000.0,710413000000.0,2213691000000.0,501828000000.0,1363823000000.0,
Tax Provision,379959000000.0,274084000000.0,484333000000.0,357983000000.0,508435000000.0,
Pretax Income,1252152000000.0,984497000000.0,2698024000000.0,859811000000.0,1872258000000.0,
Other Income Expense,-61499000000.0,-113683000000.0,1436531000000.0,-355905000000.0,406506000000.0,
Other Non Operating Income Expenses,9832000000.0,1440000000.0,-58034000000.0,8527000000.0,4570000000.0,
Earnings From Equity Interest,141044000000.0,136465000000.0,190439000000.0,99378000000.0,164937000000.0,
Gain On Sale Of Security,-212375000000.0,-251588000000.0,1304126000000.0,-463810000000.0,236999000000.0,
Net Non Operating Interest Income Expense,147510000000.0,-17915000000.0,46218000000.0,59960000000.0,157291000000.0,
Interest Expense Non Operating,6211000000.0,-77160000000.0,107572000000.0,37185000000.0,16509000000.0,
Interest Income Non Operating,153721000000.0,-60107000000.0,153790000000.0,97145000000.0,173800000000.0,
Operating Income,1166141000000.0,1116095000000.0,1215274000000.0,1155755000000.0,1308462000000.0,
Operating Expense,1029672000000.0,1216098000000.0,1163635000000.0,1282735000000.0,1119984000000.0,
Selling General And Administration,1029672000000.0,1216098000000.0,1163635000000.0,1282735000000.0,1119984000000.0,
Gross Profit,2195813000000.0,2332193000000.0,2378909000000.0,2438490000000.0,2428446000000.0,
Cost Of Revenue,10057513000000.0,10030966000000.0,10012186000000.0,9006080000000.0,9409434000000.0,
Total Revenue,12253326000000.0,12363159000000.0,12391095000000.0,11444570000000.0,11837880000000.0,
Operating Revenue,12253326000000.0,12363159000000.0,12391095000000.0,11444570000000.0,11837880000000.0,
